DATASET_BINARY
#lines starting with a hash are comments and ignored during parsing
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throught this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR TAB

#label is used in the legend table (can be changed later)
DATASET_LABEL	riboswitch
Thermocrinis_albus	-1	1
Thermosediminibacter_oceani	1	-1
Thermosynechococcus_elongatus	-1	1
Thermosynechococcus_sp._CL-1	-1	1
Thiomonas_intermedia	-1	1
Treponema_azotonutricium	-1	1
Treponema_brennaborense	1	-1
Treponema_caldarium	1	1
Treponema_denticola	-1	1
Treponema_pallidum	-1	1
Treponema_paraluiscuniculi	-1	1
Treponema_succinifaciens	-1	1
Trichormus_variabilis	-1	1
Tsukamurella_paurometabola	-1	1
Vibrio_alginolyticus	1	1
Vibrio_campbellii	1	1
Vibrio_furnissii	1	-1
Vibrio_harveyi	1	1
Vibrio_parahaemolyticus	1	1
Vibrio_sp.	1	-1
Vibrio_splendidus	1	-1
Vibrio_vulnificus	1	1
Weeksella_virosa	1	-1
Weissella_koreensis	1	-1
Weizmannia_coagulans	1	-1
Wolbachia_pipientis_wVitA	-1	1
Wolbachia_sp.	-1	1
Yersinia_pestis	-1	1
Yersinia_pseudotuberculosis	-1	1
